timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780303885.4066021,node-0,0.62,3592.7,257840.9,1.4,0.418,0.744,0.684
1780303886.042398,node-1,0.49,3790.2,257840.9,1.5,0.618,5.622,7.196
1780303886.2645879,node-2,0.1,3320.1,257840.9,1.3,0.424,2.74,3.003
1780303886.4089994,node-0,0.7,3581.7,257840.9,1.4,0.418,0.744,0.684
1780303887.0448184,node-1,0.89,3792.8,257840.9,1.5,0.618,5.622,7.196
1780303887.266703,node-2,0.12,3319.8,257840.9,1.3,0.424,2.74,3.003
1780303887.41143,node-0,0.42,3581.2,257840.9,1.4,0.418,0.744,0.684
1780303888.0472562,node-1,1.09,3796.5,257840.9,1.5,0.618,5.622,7.196
1780303888.2689626,node-2,0.57,3317.9,257840.9,1.3,0.424,2.74,3.003
1780303888.4136753,node-0,0.55,3580.8,257840.9,1.4,0.418,0.744,0.684
1780303889.0496607,node-1,0.4,3796.2,257840.9,1.5,0.618,5.622,7.196
1780303889.271414,node-2,0.45,3314.5,257840.9,1.3,0.424,2.74,3.003
1780303889.4158742,node-0,0.4,3582.7,257840.9,1.4,0.418,0.744,0.684
1780303890.0520055,node-1,0.47,3796.1,257840.9,1.5,0.889,5.595,7.179
1780303890.2739985,node-2,0.33,3314.7,257840.9,1.3,0.39,2.694,2.986
1780303890.418513,node-0,0.6,3578.7,257840.9,1.4,0.385,0.731,0.68
1780303891.0543056,node-1,0.4,3795.6,257840.9,1.5,0.889,5.595,7.179
1780303891.275409,node-2,0.17,3313.2,257840.9,1.3,0.39,2.694,2.986
1780303891.4208868,node-0,0.35,3578.4,257840.9,1.4,0.385,0.731,0.68
1780303892.0569258,node-1,0.77,3789.7,257840.9,1.5,0.889,5.595,7.179
1780303892.277586,node-2,0.17,3313.1,257840.9,1.3,0.39,2.694,2.986
1780303892.4230883,node-0,0.25,3578.1,257840.9,1.4,0.385,0.731,0.68
1780303893.0593348,node-1,0.35,3788.9,257840.9,1.5,0.889,5.595,7.179
1780303893.2797928,node-2,0.38,3310.0,257840.9,1.3,0.39,2.694,2.986
1780303893.425266,node-0,0.4,3577.9,257840.9,1.4,0.385,0.731,0.68
1780303894.0616355,node-1,0.42,3788.2,257840.9,1.5,0.889,5.595,7.179
1780303894.2820504,node-2,0.62,3309.6,257840.9,1.3,0.39,2.694,2.986
1780303894.4268234,node-0,0.3,3577.6,257840.9,1.4,0.385,0.731,0.68
1780303895.0644054,node-1,0.78,3786.2,257840.9,1.5,0.898,5.518,7.146
1780303895.2846391,node-2,0.2,3309.3,257840.9,1.3,0.359,2.649,2.97
1780303895.429124,node-0,0.38,3577.0,257840.9,1.4,0.354,0.719,0.676
1780303896.066823,node-1,0.27,3786.9,257840.9,1.5,0.898,5.518,7.146
1780303896.2868555,node-2,0.2,3308.8,257840.9,1.3,0.359,2.649,2.97
1780303896.431472,node-0,0.68,3573.9,257840.9,1.4,0.354,0.719,0.676
1780303897.0682712,node-1,0.55,3788.2,257840.9,1.5,0.898,5.518,7.146
1780303897.2890108,node-2,0.1,3308.5,257840.9,1.3,0.359,2.649,2.97
1780303897.4338393,node-0,0.28,3573.4,257840.9,1.4,0.354,0.719,0.676
1780303898.0706928,node-1,0.75,3787.4,257840.9,1.5,0.898,5.518,7.146
1780303898.2912364,node-2,0.53,3304.5,257840.9,1.3,0.359,2.649,2.97
1780303898.4359946,node-0,0.28,3572.9,257840.9,1.4,0.354,0.719,0.676
1780303899.0731308,node-1,0.47,3787.3,257840.9,1.5,0.898,5.518,7.146
1780303899.2936268,node-2,0.42,3305.9,257840.9,1.3,0.359,2.649,2.97
1780303899.4381883,node-0,0.35,3572.2,257840.9,1.4,0.354,0.719,0.676
1780303900.0754645,node-1,0.32,3787.0,257840.9,1.5,0.826,5.426,7.107
1780303900.295919,node-2,0.15,3305.8,257840.9,1.3,0.33,2.604,2.954
